tongkuang,Í­¿ó,8,15,10,100,0,tongkuangshi:100|xuanhuangshi:10
xinkuang,Ğ¿¿ó,5,15,101,140,15,xinkuangshi:100|xuanhuangshi:10
lvkuang,ÂÁ¿ó,5,15,141,200,30,lvkuangshi:100|xuanhuangshi:10
tiekuang,Ìú¿ó,5,15,201,240,45,tiekuangshi:100|maoyanshi:10
yinkuang,Òø¿ó,5,15,241,280,60,yinkuangshi:100|maoyanshi:10
jinkuang,½ğ¿ó,5,15,281,320,75,jinkuangshi:100|maoyanshi:10
bojinkuang,²¬½ğ¿ó,8,15,321,380,90,bojin:100|xiehupo:10
wujinkuang,ÎÙ½ğ¿ó,8,15,381,420,105,wujin:100|xiehupo:10
fantiekuang,·°Ìú¿ó,8,15,421,500,120,fantie:100|xiehupo:10
taijinkuang,îÑ½ğ¿ó,10,15,501,600,135,taijin:100|yufeicui:10
yuntiekuang,ÔÉÌú¿ó,10,15,601,700,140,yuntie:100|yufeicui:10
jianjingkuang,¼á¾§¿ó,10,15,701,800,145,jianjing:100|jingangzuan:10
xuantieshikuang,ĞşÌúÊ¯¿ó,20,15,801,1200,150,xuantieshi:100|jingangzuan:5
bingshimai,±ùÊ¯Âö,1,15,1001,1200,150,bingshi:100|zishuijing:5
huoshimai,»ğÊ¯Âö,1,15,1001,1200,150,huoshi:100|zishuijing:5
fengshimai,·çÊ¯Âö,1,15,1001,1200,150,fengshi:100|zishuijing:5
qingtongkuang,ÇàÍ­¿ó,1,30,1001,1300,155,qingtong:100|huangshuiyu:10
jingxinkuang,¾§Ğ¿¿ó,1,30,1001,1300,160,jingxinshi:100|huangshuiyu:10
jinglvkuang,¾§ÂÁ¿ó,1,30,1001,1300,165,jinglvshi:100|huangshuiyu:10
jingtiekuang,¾§Ìú¿ó,1,30,1001,1300,170,jingtieshi:100|baijingshi:10
jingyinkuang,¾§Òø¿ó,1,30,1001,1300,175,jingyinshi:100|baijingshi:10
jingjinkuang,¾§½ğ¿ó,1,30,1001,1300,180,jingjinshi:100|baijingshi:10
jinbojinkuang,¾§²¬½ğ¿ó,1,30,1001,1300,185,jingbojin:100|zihupo:10
jingwujinkuang,¾§ÎÙ½ğ¿ó,1,30,1001,1300,190,jingwujin:100|zihupo:10
jingfantiekuang,¾§·°Ìú¿ó,1,30,1001,1300,195,jingfantie:100|qingyueshi:10
jingtaijinkuang,¾§îÑ½ğ¿ó,1,30,1001,1300,200,jingtaijin:100|qingyueshi:10
jingyuntiekuang,¾§ÔÉÌú¿ó,1,30,1001,1300,205,jingyuntie:100|qingyueshi:10
jingjiankuang,¾§¼á¿ó,1,30,1001,1300,210,jingjianshi:100|shuijianjing:10
jingxuantiekuang,¾§ĞşÌú¿ó,1,30,1001,1300,210,jingxuantie:100|shuijianjing:10
bingjingshimai,±ù¾§Ê¯Âö,1,30,1001,1300,210,bingjingshi:100|yueliangshi:5|liujinshi:5
huojingshimai,»ğ¾§Ê¯Âö,1,30,1001,1300,210,huojingshi:100|yueliangshi:5|liujinshi:5
fengjingshimai,·ç¾§Ê¯Âö,1,30,1001,1300,210,fengjingshi:100|yueliangshi:5|liujinshi:5
